2015-11-10 13:12:29,154 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Registry:Registry:0.0.1-SNAPSHOT @ /Users/pparonson/SD/Registry/Registry/pom.xml.
2015-11-10 13:12:30,661 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-10 13:12:30,664 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/pparonson/SD/Registry/Registry/src/main/resources
2015-11-10 13:12:30,666 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-10 13:12:30,667 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/pparonson/SD/Registry/Registry/src/test/resources
2015-11-10 13:12:30,704 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Registry/src
2015-11-10 13:12:30,705 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Registry/src/test/java because it overlaps with /Registry/src
2015-11-10 13:12:31,110 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-11-10 13:12:31,460 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Registry:Registry:0.0.1-SNAPSHOT @ /Users/pparonson/SD/Registry/Registry/pom.xml.
2015-11-10 13:12:32,228 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-10 13:12:32,229 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/pparonson/SD/Registry/Registry/src/main/resources
2015-11-10 13:12:32,232 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
